mag_id	original_substrate	substrate_category	specific_substrate	source	completeness	contamination	domain	phylum	class	order	family	genus	species	study_catalog	group
MASTER_WP4_FFoQSI_2__VB11-20__bin.5	milk	dairy	milk	MASTER_WP4_FFoQSI_2__VB11-20	93.67729398	4.645911166	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_guillouiae	Carlino2024	Proteobacteria
WalshL_xxxx__G10__bin.4	kefir	dairy	kefir	WalshL_xxxx__G10	61.01108937	1.095890411	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_guillouiae	Carlino2024	Proteobacteria
MASTER_WP4_FFoQSI_3__VB09-20__bin.1	milk	dairy	milk	MASTER_WP4_FFoQSI_3__VB09-20	50.15125571	0.410958904	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_guillouiae	Carlino2024	Proteobacteria
WalshL_xxxx__H2__bin.1	kefir	dairy	kefir	WalshL_xxxx__H2	56.66666667	1.095890411	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_guillouiae	Carlino2024	Proteobacteria
MASTER_WP4_FFoQSI_3__VB13-20__bin.1	milk	dairy	milk	MASTER_WP4_FFoQSI_3__VB13-20	64.74885845	0.273972603	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_guillouiae	Carlino2024	Proteobacteria
MASTER_WP4_TEAGASC_1__TGS04-26__bin.12	cheese	dairy	cheese	MASTER_WP4_TEAGASC_1__TGS04-26	84.56589707	1.476890113	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_TEAGASC_1__TGS04-30__bin.22	cheese	dairy	cheese	MASTER_WP4_TEAGASC_1__TGS04-30	99.32659933	1.01010101	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_UNINA_1__FO005_71775__bin.7	cheese	dairy	cheese	MASTER_WP4_UNINA_1__FO005_71775	97.34465871	4.166666667	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
WalshAM_2020__ERS3466776__bin.3	cheese	dairy	cheese	WalshAM_2020__ERS3466776	77.90097949	1.851851852	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_UNINA_1__PU007_71775__bin.23	cheese	dairy	cheese	MASTER_WP4_UNINA_1__PU007_71775	86.25841751	1.655443322	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
DeFilippisF_xxxx__DF_37__bin.7	cheese	dairy	cheese	DeFilippisF_xxxx__DF_37	96.26122334	3.005050505	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_UNINA_1__FO007_71775__bin.43	cheese	dairy	cheese	MASTER_WP4_UNINA_1__FO007_71775	92.76094276	2.777777778	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-14-M17__bin.3	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-14-M17	76.76767677	2.398989899	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.31	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__RC17-F-BR	89.69811754	2.150290787	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB12-F-AR__bin.18	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB12-F-AR	95.96724824	3.114478114	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB03-29__bin.33	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB03-29	80.30390485	4.391133558	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB05-29__bin.12	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB05-29	83.51571268	3.383838384	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB05-30__bin.16	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB05-30	92.78772574	2.280379553	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_TEAGASC_1__TGS04-28__bin.12	cheese	dairy	cheese	MASTER_WP4_TEAGASC_1__TGS04-28	98.7654321	1.01010101	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_TEAGASC_1__TGS04-29__bin.22	cheese	dairy	cheese	MASTER_WP4_TEAGASC_1__TGS04-29	96.2962963	1.178451178	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB09-29__bin.9	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB09-29	92.87317621	4.559483726	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-16-M15__bin.43	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-16-M15	94.44444444	1.893939394	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-16-M16__bin.29	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-16-M16	98.0359147	0.841750842	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB04-30__bin.26	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB04-30	92.97138047	3.661616162	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-09-AG__bin.49	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-09-AG	91.13674625	3.156565657	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
DeFilippisF_xxxx__DF_11__bin.36	cheese	dairy	cheese	DeFilippisF_xxxx__DF_11	56.73229408	0.841750842	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB09-30__bin.38	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB09-30	95.14845424	3.156565657	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
WolfeBE_2014__950_Rush_Creek__bin.5	cheese	dairy	cheese	WolfeBE_2014__950_Rush_Creek	99.32659933	0.505050505	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_gubbeenense	Carlino2024	Actinobacteria
MASTER_WP4_TEAGASC_1__TGS04-30__bin.1	cheese	dairy	cheese	MASTER_WP4_TEAGASC_1__TGS04-30	99.13663664	0.540540541	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB16-28__bin.2	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB16-28	75.13084513	1.891891892	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_CSIC_1__P2239_73323__bin.13	cheese	dairy	cheese	MASTER_WP4_CSIC_1__P2239_73323	98.16066066	0.540540541	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__KM-4G__bin.30	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__KM-4G	93.26201201	2.327327327	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__KM-5G__bin.29	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__KM-5G	90.78024453	2.927927928	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-03-AG__bin.20	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-03-AG	92.64264264	1.276276276	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-04-AD__bin.20	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-04-AD	94.66966967	2.252252252	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-05-AD__bin.27	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-05-AD	92.8490991	0.600600601	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-05-BD__bin.62	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-05-BD	92.96171171	1.415701416	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-05-BG__bin.24	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-05-BG	94.12537538	1.351351351	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-06-AD__bin.13	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-06-AD	93.93768769	1.126126126	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-06-BG__bin.31	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-06-BG	95.21396396	1.351351351	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-06-M1__bin.17	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-06-M1	89.30555556	1.779279279	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-06-M2__bin.18	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-06-M2	79.23637924	3.07968683	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-08-AG__bin.19	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-08-AG	91.76051051	1.126126126	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-08-BD__bin.28	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-08-BD	90.93093093	1.351351351	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-08-M4__bin.25	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-08-M4	94.46321321	1.051051051	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-14D__bin.1	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-14D	94.27927928	1.126126126	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin.24	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB14-F-AR	92.09834835	1.734234234	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB14-F-BR__bin.35	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB14-F-BR	91.68543544	0.675675676	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-14-M17__bin.15	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-14-M17	92.71771772	1.126126126	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-14-M18__bin.35	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-14-M18	89.47661948	1.67042042	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-15-M11__bin.16	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-15-M11	66.91924067	3.123123123	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-15-M9__bin.55	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-15-M9	97.69144144	1.351351351	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-16-AG__bin.49	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-16-AG	91.81681682	0.675675676	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-16-BD__bin.38	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-16-BD	94.36936937	1.351351351	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB06-30__bin.10	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB06-30	90.53678679	0.675675676	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB08-30__bin.16	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB08-30	93.73123123	0.825825826	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB10-29__bin.15	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB10-29	97.14714715	1.565851566	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB15-29__bin.15	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB15-29	97.63513514	0.675675676	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB16-29__bin.19	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB16-29	92.19219219	1.126126126	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB16-30__bin.18	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB16-30	90.55930931	1.576576577	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB02-29__bin.11	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB02-29	94.15165165	0.990990991	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB02-30__bin.11	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB02-30	91.85435435	1.576576577	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB07-29__bin.15	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB07-29	95.68318318	1.666666667	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB07-30__bin.36	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB07-30	92.47372372	1.051051051	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB08-29__bin.31	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB08-29	94.18168168	1.216216216	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB13-29__bin.10	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB13-29	94.93243243	0.900900901	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__KM-5D__bin.25	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__KM-5D	93.61861862	1.801801802	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-15-AG__bin.22	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-15-AG	87.8003003	3.040540541	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-15-BD__bin.2	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-15-BD	96.02102102	1.501501502	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-15-M10__bin.34	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-15-M10	98.53603604	1.351351351	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB06-29__bin.37	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB06-29	94.59459459	0.465465465	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB15-30__bin.42	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB15-30	95.98348348	1.126126126	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB13-30__bin.16	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB13-30	98.76126126	1.332582583	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_3__VB15-29__bin.8	cheese	dairy	cheese	MASTER_WP4_FFoQSI_3__VB15-29	92.31981982	0.720720721	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
WalshAM_2020__ERS3466777__bin.8	cheese	dairy	cheese	WalshAM_2020__ERS3466777	94.0503003	0.957207207	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_CSIC_2__P2558__bin.36	cheese	dairy	cheese	MASTER_WP4_CSIC_2__P2558	76.23873874	1.201201201	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
KastmanEK_2016__CSB962__bin.2	cheese	dairy	cheese	KastmanEK_2016__CSB962	88.97415272	1.816816817	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_CSIC_1__P2237_73323__bin.30	cheese	dairy	cheese	MASTER_WP4_CSIC_1__P2237_73323	97.87537538	0.690690691	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__KM-1D__bin.28	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__KM-1D	93.63738739	1.276276276	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__KM-2D__bin.32	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__KM-2D	98.76126126	0.900900901	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__KM-2G__bin.22	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__KM-2G	93.58912484	1.126126126	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.47	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__RC17-F-AR	67.39060489	0.990990991	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.42	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__RC17-F-BR	94.50075075	1.276276276	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-03-M5__bin.29	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-03-M5	97.48498498	2.064564565	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-03-M6__bin.11	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-03-M6	98.003003	0.844594595	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-04-BG__bin.12	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-04-BG	94.53828829	1.276276276	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-09-BD__bin.3	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-09-BD	95.3480266	1.576576577	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-12D__bin.19	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-12D	95.38288288	1.051051051	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB12-F-AR__bin.9	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB12-F-AR	98.76126126	0.900900901	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-14-BG__bin.37	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-14-BG	93.76876877	2.072072072	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_1__VB-16-M13__bin.5	cheese	dairy	cheese	MASTER_WP4_FFoQSI_1__VB-16-M13	74.33290433	3.490990991	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB01-29__bin.13	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB01-29	98.34834835	1.351351351	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB01-30__bin.11	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB01-30	96.95945946	0.675675676	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
MASTER_WP4_FFoQSI_2__VB03-29__bin.11	cheese	dairy	cheese	MASTER_WP4_FFoQSI_2__VB03-29	96.24624625	0.900900901	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	Carlino2024	Actinobacteria
